标题,中文摘要
多重入医疗服务运作管理研究,经过近三十年的医疗改革，中国医疗系统取得了一定成就，但仍然存在着关键医疗资源短缺的问题。本项目针对多重入医疗服务，进行能力分派与患者流控制研究，以保证患者诊疗连续性，减少患者等待时间，进而提高医疗服务水平与患者满意度。针对连续与非连续时间间隔的多重入医疗系统，本项目考虑考虑患者异质目标等待时间与多患者诊疗连贯性进行能力分派研究，考虑目标等待时间进行连续重入患者流控制研究，以及考虑不确定诊疗方案进行非连续重入患者流控制。最后结合上海瑞金医院、上海市仁济医院，无锡、常州等多地医院的实际情况，进行案例研究。本项目将丰富完善医疗运作管理研究，具有重要的理论和应用价值。
基于社会网络分析及NK模型的重大建设项目干系人关系研究,重大建设项目投资规模大、建设工期长， 技术难度高、项目干系人多，各个环节之间的关系错综复杂，对国家和区域性经济、社会以及环境具有较为深远的影响。重大建设项目干系人（Stakeholder）的关系分析及管理具有高度的复杂性和动态性，对项目的成功完成具有至关重要的意义。本研究拟将社会网络分析（SNA）方法和NK模型的结合，实现下述研究目标：（1）提出重大建设项目干系人识别方法与分类标准，为项目管理者提出一套重大建设项目全生命周期的干系人的识别程序与操作标准；（2）构建重大建设项目干系人关系管理策略及其仿真评价模型，为项目管理者科学管理重大建设项目干系人提供一种有效方法。本研究成果将丰富和发展管理者对重大建设项目干系人以及他们之间关系的科学认识，为项目管理者更好地处理干系人之间的关系提供良好的认识基础；拟构建的干系人识别及关系仿真分析方法能为重大建设项目干系人管理提供理论依据和技术支撑。
基于深度学习的大数据制造过程质量智能诊断研究,"针对基于浅层学习模型的质量诊断方法难以满足大数据制造过程实时质量智能诊断的现状，本项目将以深度学习理论为基础，系统地研究大数据制造过程质量智能诊断方法。首先，将反映大数据制造过程的各种异常状态转化为数字图像，用灰度图建立质量图谱以显现隐含的质量信息。其次，将小波变换方法与深度置信网络有机结合，形成具有去噪能力的特征自学习算法，利用该算法对质量图谱进行特征提取。进而，采用深度置信网络对质量图谱自动识别与分类,形成特征提取与分类识别一体的质量异常识别与参数估计模型。其中要解决的关键问题是如何优化深度置信网络的学习层数与隐层单元数，构建训练耗时短且识别精度高的识别模型。最后，将规则推理与案例推理相融合，利用深度置信网络，建立在线质量诊断专家系统，实现大数据制造过程实时质量智能诊断。本项目的研究成果可有效地应用于智慧工厂现场的实时质量监控与诊断，其对于降低质量事故、提升经济效益具有重要应用价值。"
基于内部损失事件的商业银行操作风险动因机理、量化建模及动态控制研究,国内外频发且损失巨大的商业银行操作风险事件引发了监管层、实务界以及学术界的极大关注。内部损失数据不足是制约操作风险研究的最主要因素。本研究基于项目组多年积累并构建的独有的已有三万余条内部损失事件的商业银行操作风险数据库：剖析人员、流程和IT的操作风险形成动因和作用机理，辅以商业银行交易数据、人员信息、客户信息以及流程和IT运营数据实证研究三个动因模型；结合动因模型与现有的操作风险计量模型，构建更为有效的内外部数据整合模型，基于工作量以及IT操作风险构建资本配置模型；基于动因分析和量化建模，运用数据挖掘、机器学习以及案例推理、知识管理、风险检查等工具方法，构建有效的操作风险管控体系。真实、海量且具有针对性的内部损失事件数据能有效应对基于外部损失事件所解决不了的诸如动因实证分析问题。本研究拓展了商业银行操作风险管理研究的前沿领域，为提升商业银行操作风险管理水平提供切实有效的理论支撑和实践指导。
基于前沿创新特点的新创企业渐进式及互联网融资契约设计研究,结合我国“新常态”经济转型结构调整和产业升级，通过前沿创新驱动长期可持续增长的要求，针对创新主体——新创科技型企业在前沿创新过程不同阶段的研发特点和融资需求，以债股衔接的渐进式直接融资契约设计与互联网融资信用契约为研究对象，运用新经济增长、动态不完全契约、机制设计、社会资本和公司金融等理论，分析企业为主体，高校和科研机构参与的产学研合作前沿创新成果转化和注重专利质量及其市场价值的专利交易特点，以及新创企业研发规律和成长的阶段性特点，设计主要由资产证券化、可转债以及股权组成的衔接、转换和升级的渐进式融资契约或市场机制；研究社会网络及其所蕴含的社会资本对新创企业互惠激励相容的P2P网络借贷契约的影响，设计能提高社会资本效用，进而提升网络借贷效率的契约与机制，以利于可持续创新驱动经济长期增长发展模式的实现。
面向可持续绩效的制造企业间副产品和废料资源化利用关系协调与网络优化研究,随着不可再生资源的过度消耗、工业垃圾和温室气体的过量排放，人类的生存环境日益恶化。在这种情况下，合理利用制造企业产生的副产品和废料已成为政府和企业关注的一个焦点。本项目以可持续绩效最优化为目标，研究制造企业间副产品和废料资源化利用关系协调和网络优化问题。在关系协调问题研究中，我们应用博弈分析方法，分析企业间副产品和废料的交易价格、排污权交易价格等；在网络优化问题研究中，我们主要应用多目标粒子群算法、非支配排序遗传算法，求解副产品和废料在各企业间的分配方案、各企业采购原材料的最优数量等。在研究中，系统考虑了以下决策条件：副产品和废料供应的确定和随机，关系的自组织和被组织、独立和相干；副产品和废料的单属性和多属性、数量属性和可用时段属性；网络层次的单阶段和多阶段等。最后，基于理论研究成果，结合企业生产实践，开发企业决策支持工具。项目研究成果将为企业开展副产品和废料资源化利用提供理论与方法支持。
高维度下联立方程组和工具变量模型的估计、统计推断和模型选择,现代经济、金融活动中每时每刻都产生出大量的数据。而信息存储、数据收集以及信息处理技术的创新和发展给计量经济学理论带来了新的研究问题和挑战。在大数据时代背景下高维度计量经济学正逐渐成为理论和应用问题上的研究热点。高维度计量经济学的研究内容主要为多差异性个体的联立结构模型和网络结构的研究；多变量、多因子模型的估计、选择以及推断等。本课题对这一类问题进行系统性的理论研究并通过现实大数据进行实证问题研究。本课题主要研究下列高维度问题下的微观计量问题：1，多个差异性个体的联立方程估计；2，高维度工具变量理论，及其广义矩估计下的拓展问题；3，在经济增长、横截面回报率、资产投资组合、公司金融、环境经济学等方面的实证经济研究。
权证和期权的信息功能研究,价格发现作为衍生品的基本功能，通常被认为因衍生品的低交易成本吸引人们更多的参与衍生品交易而产生的。但中国权证市场的高投机性和高泡沫和50ETF期权市场的高交易成本，与此前提并不一致，这是否表明在这样的环境下衍生品无法提供有用的信息？本研究将以中国权证及ETF期权市场为对象，从理论和实证两个角度研究期权类衍生品市场的信息发现功能。主要内容包括：一是构建理论模型说明权证和期权市场能反映何种信息，是价格走势信息还是波动信息，是噪音信息还是基本面信息。二是通过实际数据检验权证和期权市场对各类信息的反映速度。三是制度性因素如何影响权证和标的股票的信息效率。针对中国权证和期权市场的信息功能研究，有助于进一步理解定价合理性与信息有效性之间的关系，丰富衍生品与市场效率研究方面的研究文献，也有助于深入理解期权市场信息发现功能的内在机理，寻找到更有效的提高市场效率的方法，为衍生品市场的发展提供有益的参考。
PPP项目收益的形成机理、动态评估与调节机制研究,PPP项目漫长而复杂，其收益内涵不清、评估困难、调节备受争议，本课题主要运用计算实验方法研究如何动态评估与调节PPP项目收益。课题从PPP项目收益的内涵和影响因素入手，构建PPP项目收益分析系统，并基于利益相关者特性和决策认知行为的研究，构建PPP项目价值网，将多智能体技术、系统动力学分析与价值网分析结合，建立PPP项目收益形成与调节计算实验平台，基于计算实验平台：1、模拟价值流在价值网中的变化，探索收益形成机理，基于多主体的投标博弈法研究收益动态评估方法；2、界定合理收益范围，构建项目收益调节的“政治、经济、社会”三维动力驱动机制，并分析其运行规则及演变趋势；3、分析收益形成与调节过程中的动态博弈过程，开展基于多智能体的博弈仿真分析，以收益评估值为控制指标，对不同调节策略与机制进行实验，动态调整收益函数后实现收益调节。课题对提升PPP项目的绩效、可持续性、利益相关者满意度有重要作用。
路面通行时间不确定下通勤个体出行安排决策行为建模与分析,交通系统具有不确定性和动态性两大特征，如何对不确定交通环境下的通勤个体动态决策行为进行诱导和管理一直以来都是困扰政府管理部门的难题。在此背景下，本项目以通勤个体的出行安排决策行为为切入点，首先在一个具有瓶颈的高速路和地铁线路并行提供服务的两模式交通系统中，构建路面通行时间不确定下的出行安排动态决策模型，阐述路面通行时间不确定性与动态时空均衡流量结果之间的内在联系；然后利用实证调查数据对均衡模型中的参数进行标定，考查不确定性偏好和其它异质性对均衡流量分配结果的影响；再次，研究最新提出的可交易电子路票在路面通行时间不确定下管理瓶颈拥挤和方式划分的有效性和公平性。最后，在新的模型框架中研究各种交通运营策略对出行行为和社会福利的影响。本项目的研究旨在通过系统全面的定量分析，就如何提高不确定路面环境下交通系统的出行效率和社会福利提出优化管理的建议。
